id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer,qc_status,qc_reason,qc_calibrated_score,qc_shared_chars
1,火影,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,72.68,0
2,火影,进击的巨人,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,75.66,0
3,火影,龙猫,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,49.86,0
4,海贼王,大鱼海棠,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,73.86,1
5,海贼王,数码宝贝,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,81.71,0
6,死神,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,59.52,0
7,死神,鬼灭之刃,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,82.04,0
8,死神,青之驱魔师,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,57.81,0
9,犬夜叉,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,80.62,0
10,犬夜叉,鬼灭之刃,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,77.49,0
11,犬夜叉,青之驱魔师,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,74.20,0
12,名侦探柯南,刺客伍六七,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,71.54,0
13,名侦探柯南,黑执事,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,74.64,0
14,名侦探柯南,画江湖,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,60.16,0
15,灌篮高手,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,36.38,0
16,灌篮高手,海贼王,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,59.27,0
17,蜡笔小新,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,72.15,1
18,蜡笔小新,哆啦A梦,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,81.42,0
19,蜡笔小新,妖精尾巴,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,81.30,0
20,哆啦A梦,龙猫,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,79.05,0
21,哆啦A梦,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,67.84,0
22,哆啦A梦,喜羊羊,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,50.33,0
23,数码宝贝,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,64.76,0
24,数码宝贝,进击的巨人,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,70.38,0
25,数码宝贝,刀剑神域,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,71.22,0
26,圣斗士,白蛇缘起,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,71.87,0
27,圣斗士,龙珠,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,69.04,0
28,圣斗士,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,71.59,0
29,美少女战士,银魂,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,53.83,0
30,美少女战士,犬夜叉,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,51.92,0
31,美少女战士,咒术回战,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,66.31,1
32,游戏王,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,38.22,0
33,游戏王,白蛇缘起,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_borderline,31.18,0
34,游戏王,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_borderline,29.95,0
35,银魂,樱桃小丸子,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,75.46,0
36,银魂,龙猫,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,76.61,0
37,银魂,幽游白书,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,80.06,0
38,妖精尾巴,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,58.66,0
39,妖精尾巴,青之驱魔师,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,59.76,0
40,妖精尾巴,白蛇缘起,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,66.84,0
41,一拳超人,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,81.12,0
42,一拳超人,喜羊羊,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,74.30,0
43,一拳超人,龙猫,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,76.63,0
44,东京喰种,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,43.79,0
45,东京喰种,青之驱魔师,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,71.78,0
46,东京喰种,白蛇缘起,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,51.23,0
47,全职猎人,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,45.12,0
48,全职猎人,数码宝贝,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,74.74,0
49,全职猎人,银魂,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,57.32,0
50,青之驱魔师,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,81.69,0
51,青之驱魔师,鬼灭之刃,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,81.38,1
52,青之驱魔师,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,49.85,0
53,鬼灭之刃,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,63.15,0
54,鬼灭之刃,白蛇缘起,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,72.07,0
55,鬼灭之刃,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,81.81,0
56,咒术回战,言叶之庭,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,58.15,0
57,咒术回战,龙珠,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,59.16,0
58,咒术回战,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,74.85,0
59,排球少年,犬夜叉,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,61.12,0
60,排球少年,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,60.26,0
61,排球少年,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,70.10,0
62,网球王子,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,52.21,0
63,网球王子,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,70.48,0
64,网球王子,喜羊羊,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,keep,passed_conservative_qc,11.10,0
65,命运之夜,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,59.57,0
66,命运之夜,进击的巨人,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,65.79,0
67,命运之夜,龙珠,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,39.07,0
68,未闻花名,银魂,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,39.70,0
69,未闻花名,画江湖,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,48.28,0
70,未闻花名,咒术回战,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_borderline,34.19,0
71,千与千寻,白蛇缘起,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,69.75,0
72,千与千寻,龙猫,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,54.37,0
73,千与千寻,喜羊羊,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_borderline,28.53,0
74,天空之城,星游记,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,75.66,0
75,天空之城,数码宝贝,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,75.44,0
76,天空之城,大鱼海棠,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,70.45,0
77,红猪,星游记,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,44.96,0
78,红猪,大鱼海棠,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,59.82,0
79,红猪,海贼王,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,54.76,0
80,风之谷,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,74.74,0
81,风之谷,大鱼海棠,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,59.53,0
82,风之谷,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,49.07,0
83,你的名字,青之驱魔师,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,70.19,0
84,你的名字,大鱼海棠,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,69.72,0
85,你的名字,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,76.73,0
86,天气之子,你的名字,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,74.15,0
87,天气之子,海贼王,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,47.48,0
88,天气之子,龙珠,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,62.90,0
89,铃芽之旅,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,50.35,0
90,铃芽之旅,灵笼,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,58.98,0
91,铃芽之旅,龙猫,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,50.53,0
92,狐妖小红娘,白蛇缘起,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,54.25,0
93,狐妖小红娘,青之驱魔师,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,56.91,0
94,狐妖小红娘,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,66.97,0
95,刺客伍六七,樱桃小丸子,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,51.23,0
96,刺客伍六七,龙猫,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,42.87,0
97,刺客伍六七,青之驱魔师,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,57.98,0
98,大鱼海棠,白蛇缘起,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,78.03,0
99,大鱼海棠,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,58.50,0
100,大鱼海棠,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,75.94,0
101,白蛇缘起,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,79.00,0
102,白蛇缘起,青之驱魔师,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,81.41,0
103,斗罗大陆,刀剑神域,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,73.99,0
104,斗罗大陆,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,74.22,0
105,斗罗大陆,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,65.21,1
106,斗破苍穹,白蛇缘起,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,61.72,0
107,斗破苍穹,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,76.29,0
108,斗破苍穹,青之驱魔师,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,72.35,0
109,一人之下,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,71.79,0
110,一人之下,青之驱魔师,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,65.89,1
111,一人之下,白蛇缘起,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,41.79,0
112,镇魂街,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,77.00,0
113,镇魂街,青之驱魔师,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,80.75,0
114,镇魂街,鬼灭之刃,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,79.47,0
115,不良人,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,75.35,0
116,不良人,刀剑神域,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,63.23,0
117,不良人,白蛇缘起,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,49.36,0
118,星游记,妖精尾巴,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,73.82,0
119,星游记,数码宝贝,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,82.03,0
120,星游记,海贼王,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,58.51,0
121,灵笼,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_borderline,35.95,0
122,灵笼,鬼灭之刃,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,58.51,0
123,灵笼,犬夜叉,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_borderline,35.55,0
124,喜羊羊,龙猫,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,70.53,0
125,喜羊羊,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,48.88,0
126,熊出没,龙猫,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,61.78,0
127,熊出没,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,49.85,0
128,熊出没,喜羊羊,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,keep,passed_conservative_qc,24.16,0
129,秦时明月,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,54.88,0
130,秦时明月,喜羊羊,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,49.33,0
131,秦时明月,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,66.95,0
