case_id,answer,user_input,current_score,corrected_score,error_type,error_severity,why_wrong,natural_relation,evidence,review_status,reviewer,source,created_at
1,星球,不知道,79,5,nonsense,critical,完全无关却被打到高分，不符合自然语义,none,用户实测离谱高分,merged,,online_feedback,2026-04-24
2,星球,数学,79,8,abstract_confusion,high,抽象词误碰同样抽象的学科词，但语义核心不接近,very_weak,用户实测离谱高分,merged,,online_feedback,2026-04-24
3,语文,地质,40,28,same_category_but_far,medium,都属于学科但语义不近，只能算同类远相关,weak,gold_style_reference,merged,,manual_review,2026-04-24
4,宇宙,物理,-1,20,abstract_confusion,high,宇宙与物理是关联抽象词，但语义核心不同，模型因共现语境高估,related_domain_not_synonym,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
5,宇宙,数学,-1,12,abstract_confusion,high,宇宙与数学无直接语义关联，模型抽象共现误判,very_weak,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
6,宇宙,哲学,-1,18,abstract_confusion,high,宇宙与哲学均高度抽象，模型受共现影响高估,very_weak,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
7,宇宙,时间,-1,35,abstract_confusion,medium,时间是宇宙属性之一，有合理关联但非同义,weak_relation,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
8,命运,因果,-1,42,abstract_confusion,medium,因果和命运有哲学关联，但语义核心不同,related_concept,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
9,灵魂,思想,-1,55,abstract_confusion,low,两者都是抽象内心概念，有合理相似性但非同义,related_moderate,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
10,智慧,力量,-1,28,abstract_confusion,medium,智慧和力量都是人的属性，但语义核心不同,same_attribute_domain,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
11,星球,物理,-1,15,abstract_confusion,high,星球是天体概念，物理是学科，仅因抽象词共现被高估,very_weak,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
12,快乐,悲伤,-1,10,antonym_or_conflict,critical,明确反义词，语义完全相反，不应超过12,antonym,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
13,高兴,难过,-1,10,antonym_or_conflict,critical,明确情绪反义词,antonym,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
14,白天,黑夜,-1,12,antonym_or_conflict,high,时间反义词，同类但方向相反,antonym,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
15,胜利,失败,-1,12,antonym_or_conflict,high,结果反义词，语义完全对立,antonym,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
16,古代,现代,-1,12,antonym_or_conflict,high,时间段反义词,antonym,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
17,永恒,瞬间,-1,12,antonym_or_conflict,high,持续性反义词,antonym,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
18,虚无,存在,-1,12,antonym_or_conflict,high,哲学反义词，不应高分,antonym,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
19,智慧,愚昧,-1,10,antonym_or_conflict,high,智力反义词,antonym,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
20,医生,老师,-1,22,same_category_but_far,medium,同为职业，但功能和语义核心完全不同,same_domain_different,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
21,老虎,大象,-1,22,same_category_but_far,medium,同为大型动物，语义核心明显不同,same_domain_different,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
22,春天,秋天,-1,28,same_category_but_far,medium,同为季节，描述完全不同的季节特征,same_domain_different,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
23,北京,上海,-1,28,same_category_but_far,medium,同为中国城市，是两个不同地名,same_domain_different,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
24,飞机,轮船,-1,22,same_category_but_far,medium,同为交通工具，媒介（空vs水）和语义不同,same_domain_different,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
25,语文,体育,-1,18,same_category_but_far,high,同为学科，但这两门课相差极大,same_domain_far,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
26,篮球,足球,-1,28,same_category_but_far,medium,同为球类运动，但规则和特征不同,same_domain_different,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
27,钢琴,小提琴,-1,30,same_category_but_far,medium,同为乐器，外形和发声机制不同,same_domain_different,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
28,月亮,太阳,-1,25,same_category_but_far,medium,同为天体，是完全不同的对象,same_domain_different,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
29,猫,狗,-1,28,same_category_but_far,medium,同为常见宠物，语义核心不同,same_domain_different,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
30,火,水,-1,18,same_category_but_far,high,传统五行相克，语义对立且不近似,antonym_like,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
31,苹果,书法,-1,8,cross_domain_negative,high,水果与书法艺术，无语义关联,none,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
32,海浪,化学,-1,8,cross_domain_negative,high,自然现象与学科，无语义关联,none,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
33,行李,历史,-1,8,cross_domain_negative,high,实物与学科，无语义关联,none,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
34,乒乓球,哲学,-1,8,cross_domain_negative,high,运动与学科，无语义关联,none,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
35,礼物,数学,-1,8,cross_domain_negative,high,具体物品与学科，无语义关联,none,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
36,山峰,文学,-1,8,cross_domain_negative,high,地理与学科，无语义关联,none,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
37,雨伞,下雨,-1,38,collocation_not_equivalent,medium,下雨是使用雨伞的场景触发条件，不是同义词,contextual_trigger,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
38,图书馆,安静,-1,32,hint_like,medium,安静是图书馆的特征提示词，不是同义词,attribute_hint,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
39,医院,白大褂,-1,38,hint_like,medium,白大褂是医院场景线索，不等于医院本身,attribute_hint,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
40,钢琴,黑白键,-1,40,hint_like,medium,黑白键是钢琴的组成描述，属于提示级别的关联,component_hint,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
41,手机,手机壳,-1,28,collocation_not_equivalent,medium,手机壳是配件，不是手机的近义词,part_not_whole,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
42,眼镜,近视,-1,35,collocation_not_equivalent,medium,近视是配眼镜的原因，不是同义词,cause_not_synonym,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
43,铅笔,文具盒,-1,30,collocation_not_equivalent,medium,文具盒是铅笔的存放容器，不是同义词,container_collocation,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
44,汽车,轿车,-1,72,near_synonym,medium,轿车是汽车的主要类型，语义非常接近，应在70以上,near_equivalent,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
45,大夫,医生,-1,82,near_synonym,low,大夫和医生在中文日常中几乎完全可互换,alias_in_usage,generate_bad_cases_v1,approved,,curated_bad_cases,2026-04-24
46,电视,电视机,-1,88,alias,low,电视和电视机口语完全互换，应近90,strong_alias,generate_bad_cases_v1,merged,,curated_bad_cases,2026-04-24
47,诸葛亮,孔明,-1,90,alias,low,孔明是诸葛亮的字，是标准历史别名,historical_alias,generate_bad_cases_v1,approved,,curated_bad_cases,2026-04-24
48,孙悟空,齐天大圣,-1,90,alias,low,齐天大圣是孙悟空的封号别名,title_alias,generate_bad_cases_v1,approved,,curated_bad_cases,2026-04-24
