id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer,source_tier,sample_weight,noise_reasons
1,seitai,点头,神话,,cross_category_low,1-11,6,二者不搭界,,unknown,0.50,
2,一人之下,咒术回战,动漫,,same_category_mid,45-55,50,关联度中等,,unknown,0.50,
3,一人之下,白蛇缘起,动漫,动漫,hard_negative_low,10-20,15,failed_top3_confusion_rank3,hard_negative_miner_v1,auto_miner,0.55,
4,一人之下,虹猫蓝兔,动漫,动漫,related_mid,63-73,68,failed_top1_confusion,suggested_relabel_ab_v1,auto_relabel,0.80,
5,一人之下,青之驱魔师,动漫,动漫,related_mid,63-73,68,failed_top3_confusion_rank2,suggested_relabel_ab_v1,auto_relabel,0.80,
6,一拳超人,喜羊羊,动漫,动漫,related_mid,63-73,68,failed_top3_confusion_rank2,suggested_relabel_ab_v1,auto_relabel,0.80,
7,一拳超人,守株待兔,动漫,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
8,一拳超人,虹猫蓝兔,动漫,动漫,near_synonym_high,77-87,82,failed_top1_confusion,suggested_relabel_ab_v1,auto_relabel,0.80,
9,一拳超人,龙猫,动漫,动漫,related_mid,63-73,68,failed_top3_confusion_rank3,suggested_relabel_ab_v1,auto_relabel,0.80,
10,七夕,软糯,节日,,nonsense_low,0-7,2,毫无关联,,unknown,0.50,
11,三令五申,反复说明,典故,,hint_like_high,75-85,80,关联度较高,,unknown,0.50,
12,三令五申,超新星,典故,,cross_category_low,0-7,2,二者不搭界,,unknown,0.50,
13,三明治,卧薪尝胆,美食,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
14,三顾茅庐,反复邀请,典故,,hint_like_high,75-85,80,关联度较高,,unknown,0.50,
15,三顾茅庐,求才若渴,典故,,hint_like_high,65-75,70,字面意思接近,,unknown,0.50,
16,上网,信号满,生活,,hint_like_high,65-75,70,信号满容易联想到手机或者WIFI,,unknown,0.50,
17,上课,不良人,学习,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
18,下线,关闭功能,工作,,hint_like_high,15-25,20,下线包含关闭的意思但关联度确实不高,,unknown,0.50,
19,不良人,刀剑神域,动漫,动漫,hard_negative_low,10-20,15,failed_top3_confusion_rank2,hard_negative_miner_v1,auto_miner,0.55,
20,不良人,白蛇缘起,动漫,动漫,hard_negative_low,10-20,15,failed_top3_confusion_rank3,hard_negative_miner_v1,auto_miner,0.55,
21,不良人,虹猫蓝兔,动漫,动漫,related_mid,63-73,68,failed_top1_confusion,suggested_relabel_ab_v1,auto_relabel,0.80,
22,丘比特,瀑布,狼人杀,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
23,东京喰种,白蛇缘起,动漫,动漫,hard_negative_low,10-20,15,failed_top3_confusion_rank3,hard_negative_miner_v1,auto_miner,0.55,
24,东京喰种,罗小黑战记,动漫,动漫,hard_negative_low,10-20,15,failed_top1_confusion,hard_negative_miner_v1,auto_miner,0.55,
25,东京喰种,青之驱魔师,动漫,动漫,related_mid,63-73,68,failed_top3_confusion_rank2,suggested_relabel_ab_v1,auto_relabel,0.80,
26,丢垃圾,搬家,生活,,same_category_mid,15-25,20,语义不同,,unknown,0.50,
27,丢垃圾,洗漱,生活,,same_category_mid,15-25,20,语义不同,,unknown,0.50,
28,丢垃圾,通话,生活,,same_category_mid,5-15,10,猜不到的,,unknown,0.50,
29,云雾,茶园,风景,,same_category_mid,15-25,20,关联度低,,unknown,0.50,
30,井水不犯,传递流程,歇后语,,nonsense_low,0-7,2,毫无关联,,unknown,0.50,
31,井水不犯,秀才遇鬼,歇后语,,same_category_mid,25-35,30,都是歇后语，但关联度不高,,unknown,0.50,
32,井然有序,叶公好龙,成语,,same_category_mid,15-25,20,二者关联度底,,unknown,0.50,
33,亡羊补牢,上课,成语,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
34,交付,评审,工作,,same_category_mid,35-45,40,范围接近，语义不同,,unknown,0.50,
35,交接,自检,工作,,same_category_mid,15-25,20,语义不同,,unknown,0.50,
36,京剧,国粹舞台,文化,,hint_like_high,75-85,80,关联度较高,,unknown,0.50,
37,京剧,风之谷,文化,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
38,代数,祖冲之,学科,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
39,伤心,幕布戏偶,感情,,nonsense_low,0-7,2,毫无关联,,unknown,0.50,
40,伸展,下西洋,动作,,nonsense_low,0-7,2,毫无关联,,unknown,0.50,
41,伸展,俯卧,动作,,same_category_mid,45-55,50,动作类型相似,,unknown,0.50,
42,伸展,舒缓紧绷,动作,,hint_like_high,55-65,60,关联度中等,,unknown,0.50,
43,体面,体面,歌曲,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
44,你的名字,大鱼海棠,动漫,动漫,related_mid,63-73,68,failed_top3_confusion_rank2,suggested_relabel_ab_v1,auto_relabel,0.80,
45,你的名字,虹猫蓝兔,动漫,动漫,related_mid,63-73,68,failed_top3_confusion_rank3,suggested_relabel_ab_v1,auto_relabel,0.80,
46,你的名字,青之驱魔师,动漫,动漫,related_mid,63-73,68,failed_top1_confusion,suggested_relabel_ab_v1,auto_relabel,0.80,
47,依恋,想靠近,情感,,hint_like_high,45-55,50,后者范围较广,,unknown,0.50,
48,侧步,左右挪,动作,,hint_like_high,65-75,70,字面意思接近，联想度不高,,unknown,0.50,
49,修灯,梯子,生活,,hint_like_high,35-45,40,前者大部分需要后者，但后者和前者关联度不够高,,unknown,0.50,
50,修灯,检查线,生活,,hint_like_high,55-65,60,关联度中等,,unknown,0.50,
51,俯卧,平躺反,动作,,hint_like_high,85-95,90,很接近,,unknown,0.50,
52,俯身,云量厚,动作,,nonsense_low,0-7,2,毫无关联,,unknown,0.50,
53,俯身,午休,动作,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
54,借刀杀人,月饼,典故,,nonsense_low,0-7,2,毫无关联,,unknown,0.50,
55,借刀杀人,步骤,典故,,nonsense_low,0-7,2,毫无关联,,unknown,0.50,
56,值机,安心,旅游,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
57,值机,春分,旅游,,cross_category_low,1-11,6,二者不搭界,,unknown,0.50,
58,值班,狗尾续貂,工作,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
59,做作业,做作业,学习,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
60,做实验,器材,学习,,hint_like_high,75-85,80,关联度较高,,unknown,0.50,
61,做家务,得意,生活,,nonsense_low,0-7,2,毫无关联,,unknown,0.50,
62,做家务,清理屋,生活,,hint_like_high,85-95,90,非常接近了,,unknown,0.50,
63,做梦,存档,生活,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
64,做梦,火星,生活,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
65,做题,记忆,学习,,same_category_mid,35-45,40,都是学习，但关联度不高,,unknown,0.50,
66,停下,不再动,动作,,hint_like_high,75-85,80,关联度较高,,unknown,0.50,
67,催办,登顶,工作,,cross_category_low,5-15,10,二者不搭界,,unknown,0.50,
68,儿童节,学校活动,节日,,hint_like_high,65-75,70,学校联想度较高，但儿童节也有其他庆祝方式，关联度中等,,unknown,0.50,
69,元宵,绿垄,节日,,nonsense_low,0-7,2,毫无关联,,unknown,0.50,
70,先知,先知,狼人杀,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
71,先知,预言家,狼人杀,,hint_like_high,95-100,100,二者几乎相等,,unknown,0.50,
72,光年,测天距,宇宙,,hint_like_high,85-95,90,很接近,,unknown,0.50,
73,兔子尾巴,铁公鸡,歇后语,,same_category_mid,15-25,20,二者关联度底,,unknown,0.50,
74,入职,报到登记,工作,,hint_like_high,75-85,80,关联度较高，报到登记是入职的一个重要环节,,unknown,0.50,
75,入职,自检,工作,,same_category_mid,5-15,10,二者完全不搭界,,unknown,0.50,
76,入职,语文,工作,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
77,全职猎人,数码宝贝,动漫,动漫,related_mid,63-73,68,failed_top3_confusion_rank2,suggested_relabel_ab_v1,auto_relabel,0.80,
78,全职猎人,虹猫蓝兔,动漫,动漫,hard_negative_low,10-20,15,failed_top1_confusion,hard_negative_miner_v1,auto_miner,0.55,
79,全职猎人,银魂,动漫,动漫,hard_negative_low,10-20,15,failed_top3_confusion_rank3,hard_negative_miner_v1,auto_miner,0.55,
80,全职猎人,馄饨,动漫,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
81,八面玲珑,同舟共济,成语,,same_category_mid,15-25,20,二者词义关联度低,,unknown,0.50,
82,八面玲珑,杯弓蛇影,成语,,same_category_mid,25-35,30,都是成语，但关联度不高,,unknown,0.50,
83,公会,手柄,游戏,,same_category_mid,25-35,30,关联度低,,unknown,0.50,
84,公会,语言技巧,游戏,,nonsense_low,0-7,2,毫无关联,,unknown,0.50,
85,关羽,盲人摸象,人物,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
86,写作,石桥,学习,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
87,冰川,冰川,风景,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
88,冲茶,挥拳,生活,,cross_category_low,5-15,10,语义不同,,unknown,0.50,
89,冷淡,国家事,情感,,nonsense_low,0-7,2,毫无关联,,unknown,0.50,
90,出境,出境,旅游,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
91,出境,背包,旅游,,same_category_mid,15-25,20,关联度低,,unknown,0.50,
92,凿壁借光,凿壁借光,典故,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
93,凿壁借光,夜读无灯,典故,,hint_like_high,80-90,85,后者为解释,,unknown,0.50,
94,刀剑神域,对齐,动漫,,nonsense_low,0-7,2,毫无关联,,unknown,0.50,
95,划点,提问,学习,,same_category_mid,15-25,20,语义不同,,unknown,0.50,
96,刮骨疗毒,壮士断腕,典故,,hint_like_high,35-45,40,情感上有联系，但前者属于关羽，华佗，三国独有,,unknown,0.50,
97,刷牙,早晚做,生活,,hint_like_high,45-55,50,后者范围较广,,unknown,0.50,
98,刺客伍六七,任务,动漫,,hint_like_high,45-55,50,后者范围较广,,unknown,0.50,
99,刺客伍六七,樱桃小丸子,动漫,动漫,hard_negative_low,10-20,15,failed_top1_confusion,hard_negative_miner_v1,auto_miner,0.55,
100,刺客伍六七,烤鸭,动漫,,nonsense_low,0-7,2,毫无关联,,unknown,0.50,
101,刺客伍六七,青之驱魔师,动漫,动漫,hard_negative_low,10-20,15,failed_top3_confusion_rank3,hard_negative_miner_v1,auto_miner,0.55,
102,刺客伍六七,龙猫,动漫,动漫,hard_negative_low,10-20,15,failed_top3_confusion_rank2,hard_negative_miner_v1,auto_miner,0.55,
103,刻舟求剑,刻舟求剑,歇后语,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
104,副本,开荒,游戏,,same_category_mid,65-75,70,关联度较高,,unknown,0.50,
105,副本,汉堡,游戏,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
106,加班,加班,工作,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
107,匆匆那年,稻香,歌曲,,same_category_mid,55-65,60,关联度中等,,unknown,0.50,
108,化学,化学,学科,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
109,化学,法学,学科,,same_category_mid,45-55,50,都为学科,,unknown,0.50,
110,化学,溶液配比,学科,,hint_like_high,45-55,50,化学包含溶液配比但后者只是前者的一个方面,,unknown,0.50,
111,化学,狼人,学科,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
112,匹配,运动,游戏,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
113,医学,诊断治疗,学科,,hint_like_high,65-75,70,包含关系,,unknown,0.50,
114,医学,逻辑,学科,,same_category_mid,15-25,20,关联度较高,,unknown,0.50,
115,千与千寻,命运之夜,动漫,,same_category_mid,45-55,50,关联度中等,,unknown,0.50,
116,千与千寻,喜羊羊,动漫,动漫,hard_negative_low,10-20,15,failed_top3_confusion_rank3,hard_negative_miner_v1,auto_miner,0.55,
117,千与千寻,白蛇缘起,动漫,动漫,related_mid,63-73,68,failed_top1_confusion,suggested_relabel_ab_v1,auto_relabel,0.80,
118,千与千寻,魔法,动漫,,hint_like_high,25-35,30,有关联但不高,,unknown,0.50,
119,千与千寻,龙猫,动漫,动漫,hard_negative_low,10-20,15,failed_top3_confusion_rank2,hard_negative_miner_v1,auto_miner,0.55,
120,升级,组队,游戏,,same_category_mid,55-65,60,关联度中等,,unknown,0.50,
121,单刀赴会,悬梁刺股,典故,,same_category_mid,25-35,30,都是历史典故，但关联度不高,,unknown,0.50,
122,卧冰求鲤,围魏救赵,典故,,same_category_mid,15-25,20,成语关联度不高,,unknown,0.50,
123,卧冰求鲤,寒冷之举,典故,,hint_like_high,65-75,70,字面意思接近,,unknown,0.50,
124,卧冰求鲤,故事流传,典故,,hint_like_high,45-55,50,后者范围较广,,unknown,0.50,
125,卫星,果汁,宇宙,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
126,历史,时序,学科,,hint_like_high,25-35,30,某种意义上的关联，但很难联想,,unknown,0.50,
127,压抑,郁结,感情,,hint_like_high,55-65,60,都有抑郁的情感色彩但不完全一样,,unknown,0.50,
128,厌烦,猪八戒照镜,情感,,nonsense_low,0-7,2,毫无关联,,unknown,0.50,
129,古城,云雾,风景,,same_category_mid,35-45,40,关联度低,,unknown,0.50,
130,司马光,亲切感,人物,,nonsense_low,0-7,2,毫无关联,,unknown,0.50,
131,合成,产出装备,游戏,,hint_like_high,75-85,80,合成包含产出装备但后者只是前者的一个方面,,unknown,0.50,
132,合成,词缀打造,游戏,,hint_like_high,35-45,40,词缀仅仅是合成的一小部分内容,,unknown,0.50,
133,同舟共济,锦上添花,成语,,same_category_mid,55-65,60,种类相同，但意义不同,,unknown,0.50,
134,名不副实,华而无用,成语,,hint_like_high,65-75,70,字面意思接近,,unknown,0.50,
135,名侦探柯南,刺客伍六七,动漫,动漫,related_mid,63-73,68,failed_top1_confusion,suggested_relabel_ab_v1,auto_relabel,0.80,
136,名侦探柯南,旋转,动漫,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
137,名侦探柯南,画江湖,动漫,动漫,hard_negative_low,10-20,15,failed_top3_confusion_rank3,hard_negative_miner_v1,auto_miner,0.55,
138,名侦探柯南,黑执事,动漫,动漫,related_mid,63-73,68,failed_top3_confusion_rank2,suggested_relabel_ab_v1,auto_relabel,0.80,
139,名侦探柯南,黑衣,动漫,,hint_like_high,45-55,50,后者范围较广,,unknown,0.50,
140,后来,告白气球,歌曲,,same_category_mid,55-65,60,关联度中等,,unknown,0.50,
141,后来,演员,歌曲,,same_category_mid,25-35,30,二者联想度低,,unknown,0.50,
142,后来我们,划点,歌曲,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
143,后来我们,感慨,歌曲,,hint_like_high,45-55,50,后者范围较广,,unknown,0.50,
144,后退,保持距离,动作,,hint_like_high,65-75,70,后者联想度一般，也可联想成为前进,,unknown,0.50,
145,向导,撞山,旅游,,nonsense_low,0-7,2,毫无关联,,unknown,0.50,
146,听课,守岁,学习,,nonsense_low,0-7,2,毫无关联,,unknown,0.50,
147,听课,高处直冲,学习,,nonsense_low,0-7,2,毫无关联,,unknown,0.50,
148,周深,治愈,歌手,,hint_like_high,5-15,10,不搭界，周深没唱过治愈,,unknown,0.50,
149,命运之夜,传说,动漫,,hint_like_high,35-45,40,关联度不高,,unknown,0.50,
150,命运之夜,山脊,动漫,,cross_category_low,0-7,2,二者不搭界,,unknown,0.50,
151,命运之夜,引人来改,动漫,,nonsense_low,0-7,2,毫无关联,,unknown,0.50,
152,命运之夜,虹猫蓝兔,动漫,动漫,hard_negative_low,10-20,15,failed_top1_confusion,hard_negative_miner_v1,auto_miner,0.55,
153,命运之夜,进击的巨人,动漫,动漫,related_mid,63-73,68,failed_top3_confusion_rank2,suggested_relabel_ab_v1,auto_relabel,0.80,
154,命运之夜,龙珠,动漫,动漫,hard_negative_low,10-20,15,failed_top3_confusion_rank3,hard_negative_miner_v1,auto_miner,0.55,
155,和尚打伞,肆意妄为,歇后语,,hint_like_high,45-55,50,后者范围较广,,unknown,0.50,
156,咒术回战,咒术回战,动漫,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
157,咒术回战,法门,动漫,,hint_like_high,55-65,60,包含关系,,unknown,0.50,
158,咒术回战,虹猫蓝兔,动漫,动漫,related_mid,63-73,68,failed_top3_confusion_rank3,suggested_relabel_ab_v1,auto_relabel,0.80,
159,咒术回战,言叶之庭,动漫,动漫,hard_negative_low,10-20,15,failed_top1_confusion,hard_negative_miner_v1,auto_miner,0.55,
160,咒术回战,龙珠,动漫,动漫,hard_negative_low,10-20,15,failed_top3_confusion_rank2,hard_negative_miner_v1,auto_miner,0.55,
161,咖喱,确认归岗,美食,,nonsense_low,0-7,2,毫无关联,,unknown,0.50,
162,哆啦A梦,喜羊羊,动漫,动漫,hard_negative_low,10-20,15,failed_top3_confusion_rank3,hard_negative_miner_v1,auto_miner,0.55,
163,哆啦A梦,罗小黑战记,动漫,动漫,related_mid,63-73,68,failed_top3_confusion_rank2,suggested_relabel_ab_v1,auto_relabel,0.80,
164,哆啦A梦,龙猫,动漫,动漫,related_mid,63-73,68,failed_top1_confusion,suggested_relabel_ab_v1,auto_relabel,0.80,
165,哪吒,哪吒,神话,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
166,哪吒,麒麟,神话,,same_category_mid,65-75,70,种类相同,,unknown,0.50,
167,哲学,心理,学科,,same_category_mid,15-25,20,语义不同,,unknown,0.50,
168,哲学,稳定性,学科,,nonsense_low,0-7,2,毫无关联,,unknown,0.50,
169,唇亡齿寒,命运相连,成语,,hint_like_high,85-95,90,关联度较高,,unknown,0.50,
170,唇亡齿寒,守口如瓶,成语,,same_category_mid,15-25,20,二者关联度低,,unknown,0.50,
171,喜悦,樱花,情感,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
172,喜悦,煎饼,情感,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
173,喜羊羊,罗小黑战记,动漫,动漫,hard_negative_low,10-20,15,failed_top3_confusion_rank2,hard_negative_miner_v1,auto_miner,0.55,
174,喜羊羊,龙猫,动漫,动漫,related_mid,63-73,68,failed_top1_confusion,suggested_relabel_ab_v1,auto_relabel,0.80,
175,四面楚歌,无路可退,典故,,hint_like_high,75-85,80,环境相同,,unknown,0.50,
176,四面楚歌,暮色流动,典故,,nonsense_low,0-7,2,毫无关联,,unknown,0.50,
177,国庆,万圣节,节日,,same_category_mid,25-35,30,都是节日，但关联度不高,,unknown,0.50,
178,国画,楹联,文化,,same_category_mid,35-45,40,都是文化，但关联度不高,,unknown,0.50,
179,图穷匕见,破釜沉舟,典故,,same_category_mid,25-35,30,都是历史典故，但关联度不高,,unknown,0.50,
180,图穷匕见,连击,典故,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
181,土星,气体球,宇宙,,hint_like_high,55-65,60,后者范围大,,unknown,0.50,
182,圣斗士,白蛇缘起,动漫,动漫,related_mid,63-73,68,failed_top1_confusion,suggested_relabel_ab_v1,auto_relabel,0.80,
183,圣斗士,虹猫蓝兔,动漫,动漫,related_mid,63-73,68,failed_top3_confusion_rank3,suggested_relabel_ab_v1,auto_relabel,0.80,
184,圣斗士,龙猫,动漫,,same_category_mid,45-55,50,关联度中等,,unknown,0.50,
185,圣斗士,龙珠,动漫,动漫,related_mid,63-73,68,failed_top3_confusion_rank2,suggested_relabel_ab_v1,auto_relabel,0.80,
186,圣诞,虚惊一场,节日,,nonsense_low,0-7,2,毫无关联,,unknown,0.50,
187,地球,体面,宇宙,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
188,坐船,安检,旅游,,same_category_mid,35-45,40,都是旅游，但关联度不高,,unknown,0.50,
189,坐船,桨划水面,旅游,,hint_like_high,45-55,50,关联度中等,,unknown,0.50,
190,培训,加班,工作,,same_category_mid,15-25,20,语义不同,,unknown,0.50,
191,塔防,手柄,游戏,,same_category_mid,25-35,30,都是游戏，但关联度不高,,unknown,0.50,
192,塔防,指鹿为马,游戏,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
193,塔防,视角,游戏,,same_category_mid,15-25,20,二者关联度低,,unknown,0.50,
194,塔防,资源分配,游戏,,hint_like_high,45-55,50,后者范围较广,,unknown,0.50,
195,处暑,处暑,节日,,same_answer_exact,95-100,100,完全一样,,unknown,0.50,
196,处暑,热退去,节日,,hint_like_high,55-65,60,对处暑的解释,,unknown,0.50,
197,复习,翻旧笔记,学习,,hint_like_high,75-85,80,复习包含翻旧笔记,,unknown,0.50,
198,复盘,同舟共济,工作,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
199,复述,翻滚,学习,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
200,夏目友人帐,火箭,动漫,,cross_category_low,0-10,5,二者不搭界,,unknown,0.50,
201,夏目友人帐,秦时明月,动漫,,same_category_mid,45-55,50,均为动漫，语义不同,,unknown,0.50,
202,夏至,欣慰,节日,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
203,外卖,门口取,生活,,hint_like_high,50-60,55,有关联，但联想程度不高,,unknown,0.50,
204,外星人,星球,宇宙,,same_category_mid,35-45,40,都是宇宙相关，但关联度不高,,unknown,0.50,
205,外星人,未知生命,宇宙,,hint_like_high,65-75,70,联想能力中等,,unknown,0.50,
206,夜曲,平凡之路,歌曲,,same_category_mid,35-45,40,猜不到,,unknown,0.50,
207,夜曲,晴天,歌曲,,same_category_mid,55-65,60,关联度中等,,unknown,0.50,
208,夜色,海岸,风景,,same_category_mid,15-25,20,关联度低,,unknown,0.50,
209,大暑,找阴凉,节日,,hint_like_high,65-75,70,字面意思接近,,unknown,0.50,
210,大暑,琴棋,节日,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
211,大暑,辅黄帝,节日,,nonsense_low,0-7,2,毫无关联,,unknown,0.50,
212,大禹,盘瓠,神话,,same_category_mid,25-35,30,二者关联度低,,unknown,0.50,
213,大鱼海棠,天空之城,动漫,,same_category_mid,65-75,70,都为动漫,,unknown,0.50,
214,大鱼海棠,白蛇缘起,动漫,动漫,related_mid,63-73,68,failed_top1_confusion,suggested_relabel_ab_v1,auto_relabel,0.80,
215,大鱼海棠,罗小黑战记,动漫,动漫,hard_negative_low,10-20,15,failed_top3_confusion_rank2,hard_negative_miner_v1,auto_miner,0.55,
216,大鱼海棠,虹猫蓝兔,动漫,动漫,related_mid,63-73,68,failed_top3_confusion_rank3,suggested_relabel_ab_v1,auto_relabel,0.80,
217,天体,上线,学科,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
218,天体,小暑,学科,,cross_category_low,2-12,7,二者不搭界,,unknown,0.50,
219,天体,樱花,学科,,nonsense_low,0-7,2,毫无关联,,unknown,0.50,
220,天气之子,你的名字,动漫,动漫,related_mid,63-73,68,failed_top1_confusion,suggested_relabel_ab_v1,auto_relabel,0.80,
221,天气之子,咒术回战,动漫,,same_category_mid,45-55,50,关联度中等,,unknown,0.50,
